scale,V,t,C
1,10,5.350,0.286
1,10,10.515,5.807
1,10,15.821,13.243
1,10,21.154,21.061
1,10,26.460,28.965
1,10,31.711,36.698
1,10,36.989,44.730
1,10,42.350,52.761
1,10,47.601,60.324
1,10,52.879,67.760
1,10,58.045,74.770
1,10,63.294,80.886
1,10,68.541,86.492
1,10,73.705,91.247
1,10,78.978,95.023
1,10,84.194,98.033
1,10,89.436,99.554
1,10,94.649,99.883
2,100,5.268,0.244
2,100,10.624,4.913
2,100,15.816,10.051
2,100,21.202,16.253
2,100,26.424,22.539
2,100,31.701,29.592
2,100,37.004,35.836
2,100,42.364,42.718
2,100,47.613,49.303
2,100,52.889,55.589
2,100,57.999,61.408
2,100,63.274,66.759
2,100,68.549,71.684
2,100,73.739,75.928
2,100,78.984,79.321
2,100,84.172,81.778
2,100,89.414,83.427
2,100,94.682,83.798
3,4000,5.268,0.244
3,4000,10.597,4.913
3,4000,15.845,10.902
3,4000,21.203,16.636
3,4000,26.451,22.709
3,4000,31.726,27.975
3,4000,37.001,33.240
3,4000,42.413,37.867
3,4000,47.604,42.367
3,4000,52.821,46.143
3,4000,57.983,49.238
3,4000,63.281,51.737
3,4000,68.579,53.386
3,4000,73.737,54.098
3,4000,78.921,54.002
3,4000,84.189,53.948
3,4000,89.484,53.980
3,4000,94.724,53.968
4,100000,5.267,0.201
4,100000,10.540,4.148
4,100000,15.898,9.413
4,100000,21.171,13.742
4,100000,26.445,18.071
4,100000,31.745,21.975
4,100000,37.073,25.623
4,100000,42.373,28.888
4,100000,47.616,31.643
4,100000,52.832,33.632
4,100000,57.991,34.940
4,100000,63.231,35.525
4,100000,68.499,35.386
4,100000,73.739,35.460
4,100000,78.951,35.449
4,100000,84.163,35.480
4,100000,89.458,35.426
4,100000,94.698,35.373
